,time_s3,open_s3,high_s3,low_s3,close_s3,vol_s3,time_s2,open_s2,high_s2,low_s2,close_s2,vol_s2,time_s1,open_s1,high_s1,low_s1,close_s1,vol_s1,time,open,high,low,close,vol
3411,2023.07.06 11:45,30956.7,31359.9,30956.7,31321.1,14154.341,2023.07.06 12:00,31321.1,31543.1,31300.4,31320.4,12958.261,2023.07.06 12:15,31320.4,31425.0,31315.9,31362.7,3306.623,2023.07.06 12:30,31362.7,31424.0,31034.0,31142.7,8565.738
3412,2023.07.06 12:00,31321.1,31543.1,31300.4,31320.4,12958.261,2023.07.06 12:15,31320.4,31425.0,31315.9,31362.7,3306.623,2023.07.06 12:30,31362.7,31424.0,31034.0,31142.7,8565.738,2023.07.06 12:45,31142.7,31195.9,31015.9,31049.0,3997.584
3413,2023.07.06 12:15,31320.4,31425.0,31315.9,31362.7,3306.623,2023.07.06 12:30,31362.7,31424.0,31034.0,31142.7,8565.738,2023.07.06 12:45,31142.7,31195.9,31015.9,31049.0,3997.584,2023.07.06 13:00,31049.0,31128.2,31045.2,31119.4,2764.245
3414,2023.07.06 12:30,31362.7,31424.0,31034.0,31142.7,8565.738,2023.07.06 12:45,31142.7,31195.9,31015.9,31049.0,3997.584,2023.07.06 13:00,31049.0,31128.2,31045.2,31119.4,2764.245,2023.07.06 13:15,31119.4,31133.0,31091.7,31112.4,1191.042
3415,2023.07.06 12:45,31142.7,31195.9,31015.9,31049.0,3997.584,2023.07.06 13:00,31049.0,31128.2,31045.2,31119.4,2764.245,2023.07.06 13:15,31119.4,31133.0,31091.7,31112.4,1191.042,2023.07.06 13:30,31112.4,31183.8,31052.0,31155.5,1791.202
3416,2023.07.06 13:00,31049.0,31128.2,31045.2,31119.4,2764.245,2023.07.06 13:15,31119.4,31133.0,31091.7,31112.4,1191.042,2023.07.06 13:30,31112.4,31183.8,31052.0,31155.5,1791.202,2023.07.06 13:45,31155.5,31269.4,31124.1,31212.7,2502.598
3417,2023.07.06 13:15,31119.4,31133.0,31091.7,31112.4,1191.042,2023.07.06 13:30,31112.4,31183.8,31052.0,31155.5,1791.202,2023.07.06 13:45,31155.5,31269.4,31124.1,31212.7,2502.598,2023.07.06 14:00,31212.7,31252.5,31154.4,31171.3,1800.597
3418,2023.07.06 13:30,31112.4,31183.8,31052.0,31155.5,1791.202,2023.07.06 13:45,31155.5,31269.4,31124.1,31212.7,2502.598,2023.07.06 14:00,31212.7,31252.5,31154.4,31171.3,1800.597,2023.07.06 14:15,31171.3,31194.4,31154.0,31180.0,572.896
3419,2023.07.06 13:45,31155.5,31269.4,31124.1,31212.7,2502.598,2023.07.06 14:00,31212.7,31252.5,31154.4,31171.3,1800.597,2023.07.06 14:15,31171.3,31194.4,31154.0,31180.0,572.896,2023.07.06 14:30,31180.0,31185.7,31052.3,31052.3,1311.638
3420,2023.07.06 14:00,31212.7,31252.5,31154.4,31171.3,1800.597,2023.07.06 14:15,31171.3,31194.4,31154.0,31180.0,572.896,2023.07.06 14:30,31180.0,31185.7,31052.3,31052.3,1311.638,2023.07.06 14:45,31052.3,31090.0,30672.6,30832.9,12296.476
